"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00090010","ABBEVILLE, GA US","1991-02-03","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-04","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-05","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-06","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-07","0.28",,
"USC00090010","ABBEVILLE, GA US","1991-02-08","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-09","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-10","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-11","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-12","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-13","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-14","0.03",,
"USC00090010","ABBEVILLE, GA US","1991-02-15","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-16","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-17","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-18","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-19","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-20","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-21","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-22","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-23","0.10",,
"USC00090010","ABBEVILLE, GA US","1991-02-24","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-25","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-26","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-27","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-02-28","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-01","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-02","2.44",,
"USC00090010","ABBEVILLE, GA US","1991-03-03","2.64",,
"USC00090010","ABBEVILLE, GA US","1991-03-04","0.21",,
"USC00090010","ABBEVILLE, GA US","1991-03-05","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-06","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-07","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-08","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-09","0.17",,
"USC00090010","ABBEVILLE, GA US","1991-03-10","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-11","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-12","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-13","0.06",,
"USC00090010","ABBEVILLE, GA US","1991-03-14","0.26",,
"USC00090010","ABBEVILLE, GA US","1991-03-15","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-16","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-17","0.27",,
"USC00090010","ABBEVILLE, GA US","1991-03-18","0.55",,
"USC00090010","ABBEVILLE, GA US","1991-03-19","0.02",,
"USC00090010","ABBEVILLE, GA US","1991-03-20","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-21","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-22","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-23","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-24","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-25","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-26","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-27","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-28","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-29","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-03-30","0.79",,
"USC00090010","ABBEVILLE, GA US","1991-03-31","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-04-01","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-04-02","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-04-03","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-04-04","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-04-05","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-04-06","0.03",,
"USC00090010","ABBEVILLE, GA US","1991-04-07","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-04-08","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-04-09","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-04-10","0.11",,
"USC00090010","ABBEVILLE, GA US","1991-04-11","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-04-12","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-04-13","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-04-14","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-04-15","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-04-16","0.08",,
"USC00090010","ABBEVILLE, GA US","1991-04-17","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-04-18","0.10",,
"USC00090010","ABBEVILLE, GA US","1991-04-19","0.05",,
"USC00090010","ABBEVILLE, GA US","1991-04-20","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-04-21","0.00",,
"USC00090010","ABBEVILLE, GA US","1991-04-22","0.01",,
